year,a_dry,b_dry,a_wet,b_wet
2000,36.40722991213815,-11.808714799315089,24.697486078155382,1.9143391420281481
2001,34.97889966240721,-10.018674879207744,25.093468393781162,1.241015366300211
2002,36.76390949564958,-13.460200784745133,24.830271038514066,1.7490191398393753
2003,36.202236780662666,-11.516246780107753,24.649567070618385,1.8369531589046357
2004,35.10944320763109,-11.84690747112565,24.304432170056693,1.9129757939930856
2005,35.06344477988285,-10.863757707667588,25.113885685494544,0.505461791847286
2006,37.34967996873012,-14.855026624900022,24.727830785709113,2.0566335672098286
2007,35.0668427064446,-11.038718162290442,24.96262856516461,1.4420207054899201
2008,35.08372915192689,-12.315566804421893,24.903133467633715,0.9402101877108966
2009,37.85138740264214,-15.139828468717635,24.82279800648161,2.1823435803758278
2010,35.69986265458274,-11.347164621719193,24.947696370263557,1.613335042957424
2011,35.36422844871745,-11.478304027851305,24.383959256596672,2.5283024399489453
2012,35.75239730911982,-11.27091831607497,24.703127587712856,2.3798207859585454
2013,36.456223459898546,-10.982902636031417,25.035294892663753,1.2081432394544491
2014,35.95500595295682,-11.004598570971558,25.21067227573359,1.702469495153696
2015,36.800473070865664,-14.28442213855993,24.627708349622043,2.2106761971901383
2016,34.79312766792971,-8.427162365953475,25.69886893217501,1.291586809127544
2017,35.048326260976495,-9.234177236627646,25.30180757687037,1.105776668766127
2018,35.590402092600016,-9.641912653392517,25.754187686562478,0.8274706593366173
2019,37.68792593285281,-12.237005113882033,25.921359409726062,1.5569077723181126
2020,36.110190350771845,-10.229488277479172,25.63546664443265,0.8450870764587612
2021,35.6989109985108,-8.847462790816088,26.127687670297682,0.9014725227080408
2022,35.41367834700215,-9.169673327947677,24.83234199118534,2.3839346086139765
2023,35.28945347503056,-8.07255662632377,25.942139961955203,0.9520596617568553
2024,34.298071286466616,-8.066369597814502,25.864685329121947,0.8672965647587638
